Type,Scenario (Energy Conserved),Not Conserved (Energy Not Conserved)
Only Gravity,A skateboarder glides up and down the inside of a semi-circular ramp.,A skateboarder rolls up and down a semi-circular ramp made of rough concrete.
Only Gravity,A child on a swing moves back and forth in a smooth arc.,A child on a swing is being pushed by the parent to moves back and forth in a smooth arc.
Only Gravity,A projectile is fired from a cannon and follows a parabolic trajectory.,A projectile is fired from a cannon and hits a target under water.
Only Gravity,A pinball rolls along a smooth track that has several hills and valleys.,A pinball rolls along a rough track that has several hills and valleys.
Only Gravity,A diver jumps from a platform and falls towards the water below.,"A diver wearing a small rocket pack jumps from a platform, firing the pack on the way down."
Only Elastic Force,"A block attached to a horizontal spring oscillates back and forth on a smooth, level table.",A block attached to a horizontal spring oscillates back and forth across a carpeted floor.
Only Elastic Force,"A cart on a smooth, level track is launched from rest by a rapidly expanding spring.",A fan-powered cart on a level track is launched from rest by an expanding spring while the fan is turned on.
Only Elastic Force,A bowling ball rolling along a smooth floor is brought to a stop by a horizontal bungee cord.,A bowling ball rolls across a sandy lane before being stopped by a horizontal bungee cord.
Only Elastic Force,"An arrow is being shot from a bow, propelled horizontally as the drawn bowstring snaps back.",An arrow is shot from a bow against strong headwind
Only Elastic Force,"A compressed spring between two carts on a smooth, horizontal track is released, pushing them apart.","A compressed spring between two carts on a gravel-covered track is released, pushing them apart."
Gravity & Elastic Force,"A mass hanging from a vertical spring is pulled down and released, causing it to oscillate.","A mass hangs from a vertical spring under water, oscillating up and down."
Gravity & Elastic Force,"A bungee jumper leaps from a high platform, falling until the elastic cord stretches and rebounds.","A bungee jumper leaps from a high platform on a very windy day, falling until the elastic cord stretches and rebounds."
Gravity & Elastic Force,A child bounces up and down on a pogo stick.,A child bounces up and down on a pogo stick in a muddy field.
Gravity & Elastic Force,A ball is shot straight up into the air by a compressed spring launcher on the ground.,A small model rocket is launched straight up by a compressed spring from under water.
Gravity & Elastic Force,"An apple falls from a tree, landing on and compressing a vertical spring below it.","An apple falls from a tree, landing on a vertical spring that is submerged in a bucket of thick oil."
No Net Work,A ball attached to a string is swung in a horizontal circle at a constant speed.,NA
No Net Work,A car travels at a steady speed around a banked curve.,NA
No Net Work,"A passenger rides on a merry-go-round that is moving at a constant speed, holding on to the center pole.",NA
No Net Work,"A child rides on a playground roundabout spinning at a constant speed, holding on to the rail.",NA
