Scenario,Object_Mass,Object_Velocity,Piece1_Mass,Piece1_x_velocity,Piece1_y_velocity,Piece1_Velocity_Magnitude,Piece2_Mass,Piece2_x_velocity,Piece2_y_velocity,Piece2_Velocity_Magnitude
1A shell traveling through the air explodes into two fragments of comparable mass.,10.0,300.0,4.0,320.0,50.0,323.88,6.0,286.6666666666667,-33.333333333333336,288.6
2A small sounding rocket in deep space separates its payload section from the main body.,200.0,5000.0,50.0,5010.0,0.0,5010.0,150.0,4996.666666666667,0.0,4996.67
3A fragment of space debris traveling in a straight line fractures internally into two non-negligible pieces.,50.0,8000.0,20.0,7900.0,100.0,7900.63,30.0,8066.666666666667,-66.66666666666667,8066.94
4A large block of ice sliding frictionlessly across a frozen lake explodes into two pieces of similar size.,80.0,4.0,30.0,5.0,2.0,5.39,50.0,3.4,-1.2,3.61
5A piece of firework traveling directly upwards explodes into two non-identical pieces.,0.5,50.0,0.2,55.0,15.0,57.01,0.3,-36.66666666666667,73.33333333333334,81.99
6A heavy nucleus (parent) moving in a straight line undergoes alpha decay into a daughter nucleus and an alpha particle (Piece 1).,240.0,200.0,4.0,205.0,5000.0,5004.2,236.0,199.91525423728814,-84.7457627118644,217.14
7A roller skater skating on a smooth surface throws a heavy gym bag sideways and slightly forward.,70.0,5.0,10.0,8.0,3.0,8.54,60.0,4.5,-0.5,4.53
8A small submarine cruising horizontally beneath the water launches an underwater exploration drone at an angle upwards and forward.,10000.0,10.0,200.0,15.0,5.0,15.81,9800.0,9.89795918367347,-0.10204081632653061,9.9
9A small space-ship cruising in deep space launches an exploration pod at an angle relative to the ship's path.,5000.0,2000.0,500.0,2500.0,1000.0,2692.58,4500.0,1944.4444444444443,-111.11111111111111,1947.62
"10A bumper car (on a slick surface, coasting) has its passenger jump out (launching themselves) at an angle.",180.0,3.0,70.0,5.0,2.5,5.59,110.0,1.7272727272727273,-1.5909090909090908,2.35
11A hovercraft moving over a smooth surface pushes (launching) a heavy supply crate at an angle to its direction of travel.,1000.0,15.0,100.0,20.0,10.0,22.36,900.0,14.444444444444445,-1.1111111111111112,14.49
"12A heavy sled sliding down a gentle, icy slope launches a dense satellite package sideways.",250.0,8.0,30.0,12.0,6.0,13.42,220.0,7.454545454545454,-0.8181818181818182,7.5
